id,city,position,salary,link
143,,,,https://bashkortostan.rabota.ru/vacancy/50274767/
144,Иваново,Оператор call-центра (удалённо),от 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50070327/
145,Курск,Начинающий оператор входящих звонков (удаленно),35 000 — 85 000 руб.,https://bashkortostan.rabota.ru/vacancy/50057012/
146,Москва,Оператор call-центра,25 000 — 42 000 руб.,https://bashkortostan.rabota.ru/vacancy/50010162/
147,Москва,Менеджер по продажам образовательных услуг (удаленно),до 200 000 руб.,https://bashkortostan.rabota.ru/vacancy/45820514/
148,Поселок Посьет,Дорожный мастер (ж/д),по договоренности,https://bashkortostan.rabota.ru/vacancy/52234261/
149,Поселок Посьет,"Мастер группы по ремонту вентиляции, кондиционирования и аспирации",от 150 000 руб.,https://bashkortostan.rabota.ru/vacancy/52234227/
150,Москва,Курьер по доставке бизнес-посылок (подработка),120 000 — 145 000 руб.,https://bashkortostan.rabota.ru/vacancy/50268642/
151,Сосновый Бор,Электрогазосварщик НАКС РД,330 000 — 462 000 руб.,https://bashkortostan.rabota.ru/vacancy/52270596/
152,Усть-Кут,Повар,от 145 589 руб.,https://bashkortostan.rabota.ru/vacancy/52266809/
153,Усть-Кут,Повар,до 154 966 руб.,https://bashkortostan.rabota.ru/vacancy/52266805/
154,Нефтекамск,Продавец-кассир,30 000 — 38 000 руб.,https://bashkortostan.rabota.ru/vacancy/52278955/
155,Туймазы,Продавец-кассир,25 900 — 36 200 руб.,https://bashkortostan.rabota.ru/vacancy/52278908/
156,Село Серменево,Продавец-кассир,27 628 — 35 225 руб.,https://bashkortostan.rabota.ru/vacancy/52278906/
157,Уфа,Специалист неразрушающего контроля / Дефектоскопист,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/50514154/
158,Уфа,Менеджер по маркетингу и PR в IT компанию,80 000 — 150 000 руб.,https://bashkortostan.rabota.ru/vacancy/50439426/
159,Уфа,Маляр,100 000 — 150 000 руб.,https://bashkortostan.rabota.ru/vacancy/50340289/
160,Стерлитамак,Бетонщик,от 40 000 руб.,https://bashkortostan.rabota.ru/vacancy/50024269/
161,Село Нижегородка,Водитель грузового автомобиля,110 000 — 130 000 руб.,https://bashkortostan.rabota.ru/vacancy/49957083/
162,Уфа,Мастер ногтевого сервиса,45 000 — 130 000 руб.,https://bashkortostan.rabota.ru/vacancy/49648412/
163,Уфа,Продавец продуктов питания,от 60 000 руб.,https://bashkortostan.rabota.ru/vacancy/49046784/
164,Уфа,Менеджер по продажам,по договоренности,https://bashkortostan.rabota.ru/vacancy/48837331/
165,Уфа,Пекарь,от 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/47894086/
166,Уфа,Мастер маникюра-педикюра,70 000 — 150 000 руб.,https://bashkortostan.rabota.ru/vacancy/47346967/
167,,,,https://bashkortostan.rabota.ru/vacancy/50520117/
168,Уфа,Продавец-консультант,от 45 000 руб.,https://bashkortostan.rabota.ru/vacancy/51569554/
169,Уфа,Повар кафе,45 000 — 70 000 руб.,https://bashkortostan.rabota.ru/vacancy/50084301/
