id,city,position,salary,link
176,Магнитогорск,Менеджер по продажам,40 000 — 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50106491/
177,Златоуст,Грузчик-сборщик,20 000 — 25 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50103185/
178,Магнитогорск,Менеджер по ипотечному страхованию,50 000 — 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49837773/
179,Челябинск,Менеджер по работе с клиентами,до 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49521798/
180,Челябинск,Парикмахер-универсал (Стилист),30 000 — 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/45940117/
181,Челябинск,Бариста,35 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50698559/
182,Челябинск,Слесарь-сантехник,от 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49811837/
183,Челябинск,Менеджер по работе с клиентами,35 000 — 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49533741/
184,Челябинск,Рамщик,60 000 — 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52269608/
185,Челябинск,Бармен,от 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52260429/
186,Челябинск,Менеджер по персоналу,от 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51629407/
187,Челябинск,Управляющий в рекламное агентство,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/50092387/
188,Магнитогорск,Повар-универсал,35 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50085820/
189,Челябинск,Повар-сушист,50 000 — 75 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50077950/
190,Челябинск,Региональный менеджер по продажам оборудования,50 000 — 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50001647/
191,Челябинск,Продавец спортивных товаров,38 000 — 52 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49901215/
192,Челябинск,Логист,30 000 — 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49653842/
193,Челябинск,Повар-универсал,29 400 — 30 800 руб.,https://chelyabinskaya.rabota.ru/vacancy/48883904/
194,Челябинск,Курьер,до 115 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/48657040/
195,Челябинск,Курьер по доставке еды,40 000 — 90 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52269606/
196,Челябинск,Продавец-консультант,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/50309621/
197,Челябинск,Методист,20 000 — 40 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49903874/
198,Москва,"Учитель химии, биологии",по договоренности,https://chelyabinskaya.rabota.ru/vacancy/49860018/
199,Москва,"Учитель математики, физики",по договоренности,https://chelyabinskaya.rabota.ru/vacancy/49859960/
200,Челябинск,Менеджер по продажам,100 000 — 205 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51660147/
201,Челябинск,Социальный работник,25 900 — 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51552835/
202,Магнитогорск,Повар,от 25 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52264478/
203,Копейск,Менеджер по продажам,70 000 — 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52111615/
204,Челябинск,Бухгалтер,от 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51553772/
205,Челябинск,Водитель механизатор,60 000 — 150 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50509745/
206,Челябинск,Резчик мяса/Мариновщик,от 52 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50236281/
207,Челябинск,Электромонтажник,от 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50149098/
208,Челябинск,Менеджер по работе с заказчиками,45 000 — 180 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50132247/
209,Челябинск,Электромонтер,от 80 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50071392/
210,Магнитогорск,Продавец-кассир в пивной магазин-бар,37 000 — 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50070634/
211,Челябинск,Продавец,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/49773716/
212,Челябинск,Менеджер по продажам,от 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49538545/
213,Магнитогорск,Оператор пункта выдачи заказов Озон,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/50365259/
214,Челябинск,Продавец,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/50438389/
215,Воронеж,Менеджер по продажам b2b,от 75 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50188049/
216,Челябинск,Администратор по работе с клиентами,от 45 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50162653/
217,Челябинск,Столяр,от 70 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50024128/
218,Челябинск,Горничная-администратор в гостиницу,28 000 — 35 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/47222471/
219,Село Туруханск,Инженер ПНР,от 180 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/52221899/
220,Челябинск,Менеджер по работе с клиентами,от 30 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50353003/
221,Москва,Менеджер по продажам,от 100 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50421655/
222,Челябинск,Оператор пункта выдачи Ozon,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/50008202/
223,Москва,Курьер по доставке еды,до 180 480 руб.,https://chelyabinskaya.rabota.ru/vacancy/52104615/
224,Станица Холмская,Менеджер по продажам,от 50 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51044609/
225,Магнитогорск,Водитель категории B (подработка),120 000 — 200 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50315552/
226,Челябинск,Управляющий/управляющая рестораном,70 000 — 90 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/50071781/
227,Село Аргаяш,Разнорабочий,от 35 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/49903920/
228,Челябинск,Машинист автокрана,от 120 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/46869918/
229,Миасс,Пекарь универсал,50 000 — 80 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51505484/
230,Челябинск,Педагог по робототехнике для детей от 8 лет,40 000 — 60 000 руб.,https://chelyabinskaya.rabota.ru/vacancy/51445672/
231,Челябинск,Монтажник гипсокартона,по договоренности,https://chelyabinskaya.rabota.ru/vacancy/51282675/
